Frequency Hz,Permittivity,Elec. Cond. (S/m)
3188800000000,4.093704916,99.4723288
3208600000000,4.093155517,99.53527146
3228400000000,4.092612837,99.59785627
3248200000000,4.092076752,99.66008749
3268000000000,4.09154714,99.72196931
3287800000000,4.091023884,99.78350584
3307600000000,4.090506869,99.84470112
3327400000000,4.089995981,99.90555913
3347200000000,4.089491111,99.96608375
3367000000000,4.088992152,100.0262788
3386800000000,4.088498999,100.0861481
3406600000000,4.088011551,100.1456953
3426400000000,4.087529707,100.204924
3446200000000,4.08705337,100.2638378
3466000000000,4.086582445,100.3224403
3485800000000,4.086116839,100.3807348
3505600000000,4.085656461,100.4387248
3525400000000,4.085201223,100.4964137
3545200000000,4.084751037,100.5538046
3565000000000,4.084305819,100.6109008
3584800000000,4.083865486,100.6677055
3604600000000,4.083429957,100.7242218
3624400000000,4.082999152,100.7804528
3644200000000,4.082572995,100.8364015
3664000000000,4.082151409,100.8920708
3683800000000,4.081734319,100.9474638
3703600000000,4.081321655,101.0025833
3723400000000,4.080913344,101.057432
3743200000000,4.080509316,101.1120129
3763000000000,4.080109505,101.1663286
3782800000000,4.079713844,101.2203819
3802600000000,4.079322266,101.2741754
3822400000000,4.07893471,101.3277117
3842200000000,4.078551111,101.3809935
3862000000000,4.078171409,101.4340232
3881800000000,4.077795544,101.4868033
3901600000000,4.077423457,101.5393364
3921400000000,4.077055091,101.5916248
3941200000000,4.076690389,101.643671
3961000000000,4.076329297,101.6954772
3980800000000,4.07597176,101.7470459
4000600000000,4.075617725,101.7983793
4020400000000,4.075267141,101.8494796
4040200000000,4.074919956,101.9003491
4060000000000,4.07457612,101.95099
4079800000000,4.074235585,102.0014044
4099600000000,4.073898302,102.0515945
4119400000000,4.073564225,102.1015623
4139200000000,4.073233307,102.1513099
4159000000000,4.072905504,102.2008394
4178800000000,4.07258077,102.2501527
4198600000000,4.072259062,102.2992518
4218400000000,4.071940338,102.3481388
4238200000000,4.071624556,102.3968155
4258000000000,4.071311674,102.4452838
4277800000000,4.071001652,102.4935455
4297600000000,4.070694451,102.5416027
4317400000000,4.070390031,102.5894569
4337200000000,4.070088355,102.6371102
4357000000000,4.069789385,102.6845641
4376800000000,4.069493084,102.7318206
4396600000000,4.069199416,102.7788812
4416400000000,4.068908346,102.8257478
4436200000000,4.068619839,102.8724219
4456000000000,4.068333861,102.9189053
4475800000000,4.068050377,102.9651996
4495600000000,4.067769356,103.0113064
4515400000000,4.067490765,103.0572273
4535200000000,4.067214571,103.1029639
4555000000000,4.066940744,103.1485177
4574800000000,4.066669253,103.1938903
4594600000000,4.066400067,103.2390831
4614400000000,4.066133158,103.2840977
4634200000000,4.065868495,103.3289356
4654000000000,4.065606051,103.3735982
4673800000000,4.065345796,103.4180869
4693600000000,4.065087704,103.4624032
4713400000000,4.064831747,103.5065484
4733200000000,4.064577898,103.550524
4753000000000,4.064326131,103.5943314
4772800000000,4.06407642,103.6379718
4792600000000,4.06382874,103.6814466
4812400000000,4.063583065,103.7247572
4832200000000,4.063339371,103.7679048
4852000000000,4.063097634,103.8108908
4871800000000,4.06285783,103.8537163
4891600000000,4.062619935,103.8963827
4911400000000,4.062383927,103.9388912
4931200000000,4.062149782,103.9812431
4951000000000,4.061917479,104.0234394
4970800000000,4.061686995,104.0654816
4990600000000,4.061458309,104.1073706
5010400000000,4.0612314,104.1491078
5030200000000,4.061006246,104.1906942
5050000000000,4.060782828,104.232131
5069800000000,4.060561124,104.2734193
5089600000000,4.060341115,104.3145603
5109400000000,4.060122781,104.3555551
5129200000000,4.059906103,104.3964046
5149000000000,4.059691061,104.4371102
5168800000000,4.059477638,104.4776727
5188600000000,4.059265814,104.5180932
5208400000000,4.059055572,104.5583729
5228200000000,4.058846893,104.5985127
5248000000000,4.058639759,104.6385136
5267800000000,4.058434155,104.6783767
5287600000000,4.058230061,104.7181029
5307400000000,4.058027462,104.7576933
5327200000000,4.057826341,104.7971488
5347000000000,4.057626681,104.8364704
5366800000000,4.057428467,104.875659
5386600000000,4.057231682,104.9147157
5406400000000,4.057036311,104.9536412
5426200000000,4.056842339,104.9924366
5446000000000,4.056649749,105.0311027
5465800000000,4.056458529,105.0696406
5485600000000,4.056268661,105.1080509
5505400000000,4.056080133,105.1463347
5525200000000,4.055892929,105.1844929
5545000000000,4.055707036,105.2225262
5564800000000,4.05552244,105.2604356
5584600000000,4.055339126,105.2982219
5604400000000,4.055157082,105.3358859
5624200000000,4.054976294,105.3734285
5644000000000,4.054796748,105.4108505
5663800000000,4.054618433,105.4481527
5683600000000,4.054441335,105.4853359
5703400000000,4.054265441,105.5224009
5723200000000,4.054090739,105.5593485
5743000000000,4.053917218,105.5961795
5762800000000,4.053744863,105.6328947
5782600000000,4.053573665,105.6694948
5802400000000,4.053403611,105.7059806
5822200000000,4.053234689,105.7423528
5842000000000,4.053066888,105.7786122
5861800000000,4.052900197,105.8147595
5881600000000,4.052734604,105.8507954
5901400000000,4.052570099,105.8867207
5921200000000,4.05240667,105.9225361
5941000000000,4.052244308,105.9582422
5960800000000,4.052083001,105.9938399
5980600000000,4.051922739,106.0293297
6000400000000,4.051763512,106.0647124
6020200000000,4.051605309,106.0999886
6040000000000,4.051448121,106.135159
6059800000000,4.051291938,106.1702244
6079600000000,4.051136749,106.2051852
6099400000000,4.050982546,106.2400423
6119200000000,4.050829319,106.2747962
6139000000000,4.050677059,106.3094477
6158800000000,4.050525755,106.3439972
6178600000000,4.0503754,106.3784455
6198400000000,4.050225983,106.4127932
6218200000000,4.050077497,106.4470409
6238000000000,4.049929932,106.4811892
6257800000000,4.04978328,106.5152387
6277600000000,4.049637532,106.54919
6297400000000,4.049492679,106.5830437
6317200000000,4.049348714,106.6168005
6337000000000,4.049205628,106.6504608
6356800000000,4.049063413,106.6840253
6376600000000,4.04892206,106.7174946
6396400000000,4.048781563,106.7508691
6416200000000,4.048641912,106.7841495
6436000000000,4.048503101,106.8173364
6455800000000,4.048365121,106.8504302
6475600000000,4.048227965,106.8834316
6495400000000,4.048091626,106.9163411
6515200000000,4.047956096,106.9491591
6535000000000,4.047821368,106.9818863
6554800000000,4.047687434,107.0145232
6574600000000,4.047554288,107.0470703
6594400000000,4.047421923,107.0795282
6614200000000,4.047290331,107.1118972
6634000000000,4.047159506,107.144178
6653800000000,4.04702944,107.1763711
6673600000000,4.046900128,107.2084769
6693400000000,4.046771563,107.240496
6713200000000,4.046643737,107.2724288
6733000000000,4.046516646,107.3042759
6752800000000,4.046390281,107.3360377
6772600000000,4.046264637,107.3677146
6792400000000,4.046139708,107.3993073
6812200000000,4.046015487,107.4308161
6832000000000,4.045891968,107.4622415
6851800000000,4.045769146,107.493584
6871600000000,4.045647014,107.5248441
6891400000000,4.045525566,107.5560221
6911200000000,4.045404797,107.5871186
6931000000000,4.045284701,107.618134
6950800000000,4.045165272,107.6490687
6970600000000,4.045046505,107.6799233
6990400000000,4.044928393,107.710698
7010200000000,4.044810932,107.7413934
7030000000000,4.044694116,107.7720099
7049800000000,4.04457794,107.8025479
7069600000000,4.044462397,107.8330079
